('VIDEO_DIP_AVI_DATA_1_C', '0x62224', '')
('VIDEO_DIP_AVI_DATA_2_C', '0x62228', '')
('VIDEO_DIP_AVI_DATA_3_C', '0x6222C', '')
('VIDEO_DIP_AVI_DATA_4_C', '0x62230', '')
('VIDEO_DIP_AVI_DATA_5_C', '0x62234', '')
('VIDEO_DIP_AVI_DATA_6_C', '0x62238', '')
('VIDEO_DIP_AVI_DATA_7_C', '0x6223C', '')
('VIDEO_DIP_VS_DATA_0_C', '0x62260', '')
('VIDEO_DIP_VS_DATA_1_C', '0x62264', '')
('VIDEO_DIP_VS_DATA_2_C', '0x62268', '')
('VIDEO_DIP_VS_DATA_3_C', '0x6226C', '')
('VIDEO_DIP_VS_DATA_4_C', '0x62270', '')
('VIDEO_DIP_VS_DATA_5_C', '0x62274', '')
('VIDEO_DIP_VS_DATA_6_C', '0x62278', '')
('VIDEO_DIP_VS_DATA_7_C', '0x6227C', '')
('VIDEO_DIP_SPD_DATA_0_C', '0x622A0', '')
('VIDEO_DIP_SPD_DATA_1_C', '0x622A4', '')
('VIDEO_DIP_SPD_DATA_2_C', '0x622A8', '')
('VIDEO_DIP_SPD_DATA_3_C', '0x622AC', '')
('VIDEO_DIP_SPD_DATA_4_C', '0x622B0', '')
('VIDEO_DIP_SPD_DATA_5_C', '0x622B4', '')
('VIDEO_DIP_SPD_DATA_6_C', '0x622B8', '')
('VIDEO_DIP_SPD_DATA_7_C', '0x622BC', '')
('VIDEO_DIP_GMP_DATA_0_C', '0x622E0', '')
('VIDEO_DIP_GMP_DATA_1_C', '0x622E4', '')
('VIDEO_DIP_GMP_DATA_2_C', '0x622E8', '')
('VIDEO_DIP_GMP_DATA_3_C', '0x622EC', '')
('VIDEO_DIP_GMP_DATA_4_C', '0x622F0', '')
('VIDEO_DIP_GMP_DATA_5_C', '0x622F4', '')
('VIDEO_DIP_GMP_DATA_6_C', '0x622F8', '')
('VIDEO_DIP_GMP_DATA_7_C', '0x622FC', '')
('VIDEO_DIP_GMP_DATA_8_C', '0x62300', '')
('VIDEO_DIP_VSC_DATA_0_C', '0x62320', '')
('VIDEO_DIP_VSC_DATA_1_C', '0x62324', '')
('VIDEO_DIP_VSC_DATA_2_C', '0x62328', '')
('VIDEO_DIP_VSC_DATA_3_C', '0x6232C', '')
('VIDEO_DIP_VSC_DATA_4_C', '0x62330', '')
('VIDEO_DIP_VSC_DATA_5_C', '0x62334', '')
('VIDEO_DIP_VSC_DATA_6_C', '0x62338', '')
('VIDEO_DIP_VSC_DATA_7_C', '0x6233C', '')
('VIDEO_DIP_VSC_DATA_8_C', '0x62340', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_0_C', '0x62484', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_1_C', '0x62488', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_2_C', '0x6248C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_3_C', '0x62490', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_4_C', '0x62494', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_5_C', '0x62498', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_6_C', '0x6249C', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_7_C', '0x624A0', '')
('VIDEO_DIP_ADAPTIVE_SYNC_DATA_8_C', '0x624A4', '')
('VIDEO_DIP_AVI_DATA_0_D', '0x63220', '')
('VIDEO_DIP_AVI_DATA_1_D', '0x63224', '')
('VIDEO_DIP_AVI_DATA_2_D', '0x63228', '')
('VIDEO_DIP_AVI_DATA_3_D', '0x6322C', '')
('VIDEO_DIP_AVI_DATA_4_D', '0x63230', '')
('VIDEO_DIP_AVI_DATA_5_D', '0x63234', '')
('VIDEO_DIP_AVI_DATA_6_D', '0x63238', '')
('VIDEO_DIP_AVI_DATA_7_D', '0x6323C', '')
('VIDEO_DIP_VS_DATA_0_D', '0x63260', '')
('VIDEO_DIP_VS_DATA_1_D', '0x63264', '')
('VIDEO_DIP_VS_DATA_2_D', '0x63268', '')
('VIDEO_DIP_VS_DATA_3_D', '0x6326C', '')
('VIDEO_DIP_VS_DATA_4_D', '0x63270', '')
('VIDEO_DIP_VS_DATA_5_D', '0x63274', '')
('VIDEO_DIP_VS_DATA_6_D', '0x63278', '')
('VIDEO_DIP_VS_DATA_7_D', '0x6327C', '')
('VIDEO_DIP_SPD_DATA_0_D', '0x632A0', '')
('VIDEO_DIP_SPD_DATA_1_D', '0x632A4', '')
('VIDEO_DIP_SPD_DATA_2_D', '0x632A8', '')
('VIDEO_DIP_SPD_DATA_3_D', '0x632AC', '')
('VIDEO_DIP_SPD_DATA_4_D', '0x632B0', '')
('VIDEO_DIP_SPD_DATA_5_D', '0x632B4', '')
('VIDEO_DIP_SPD_DATA_6_D', '0x632B8', '')
('VIDEO_DIP_SPD_DATA_7_D', '0x632BC', '')
('VIDEO_DIP_GMP_DATA_0_D', '0x632E0', '')
('VIDEO_DIP_GMP_DATA_1_D', '0x632E4', '')
('VIDEO_DIP_GMP_DATA_2_D', '0x632E8', '')
('VIDEO_DIP_GMP_DATA_3_D', '0x632EC', '')
('VIDEO_DIP_GMP_DATA_4_D', '0x632F0', '')
('VIDEO_DIP_GMP_DATA_5_D', '0x632F4', '')
('VIDEO_DIP_GMP_DATA_6_D', '0x632F8', '')
('VIDEO_DIP_GMP_DATA_7_D', '0x632FC', '')
('VIDEO_DIP_GMP_DATA_8_D', '0x63300', '')
('VIDEO_DIP_VSC_DATA_0_D', '0x63320', '')
